INC_Name,INC_ST_Unit,INC_Nbr,Acres,Cause,Start,End,LAT,LONG,Fuels1,State,Unit,Unit_Nbr,Agency,Agency_Nbr,Zone,DispCtr
Whitlow,AZ-TNF,411,842,Human,4/21/20,4/27/20,33.2963,-111.252,Short Grass (1 foot),AZ,TNF,411,USFS,7,CWZ,PHC
Charlie Moore,AZ-ASF,145,41,Unknown,5/8/20,5/11/20,33.3616,-109.089,Timber (Litter and Understory),AZ,ASF,145,USFS,7,WMZ,SDC
EAST DESERT,AZ-A4S,491,1492,Human,5/17/20,5/22/20,33.8414,-112.020,Tall Grass (2.5 feet),AZ,A4S,491,AZS,5,CWZ,ADC
Jackrabbit,AZ-PHD,674,2034,Unknown,5/25/20,5/27/20,33.8069,-113.050,Brush (2 feet),AZ,PHD,674,BLM,2,CWZ,PDC
Hat,AZ-PHD,695,583,Unknown,5/27/20,6/1/20,32.6444,-112.741,Short Grass (1 foot),AZ,PHD,695,BLM,2,CWZ,PDC
Park,AZ-SCA,1214,625,Unknown,5/27/20,6/10/20,33.3653,-110.451,Short Grass (1 foot),AZ,SCA,1214,BIA,1,CWZ,PHC
RANGE,AZ-A3S,635,3286,Human,5/29/20,5/31/20,33.0983,-111.356,Tall Grass (2.5 feet),AZ,A3S,635,AZS,5,SEZ,TDC
OCOTILLO,AZ-A4S,655,980,Unknown,5/30/20,6/2/20,33.8371,-111.960,Tall Grass (2.5 feet),AZ,A4S,655,AZS,5,CWZ,ADC
Sawtooth,AZ-TNF,1306,24729,Lightning/Natural,5/31/20,6/17/20,33.4018,-111.297,Short Grass (1 foot),AZ,TNF,1306,USFS,7,CWZ,PHC
Sunset,AZ-PHD,756,3964,Human,5/31/20,6/6/20,34.1498,-112.139,Tall Grass (2.5 feet),AZ,PHD,756,BLM,2,CWZ,PDC
RAFAEL,AZ-A3S,677,440,Lightning/Natural,5/31/20,6/7/20,31.3375,-110.595,Tall Grass (2.5 feet),AZ,A3S,677,AZS,5,SEZ,TDC
Blue River,AZ-SCA,1403,30408,Unknown,6/5/20,6/26/20,33.4345,-110.358,Tall Grass (2.5 feet),AZ,SCA,1403,BIA,1,CWZ,PHC
BIGHORN,AZ-CNF,413,119978,Lightning/Natural,6/6/20,7/23/20,32.3780,-110.927,Short Grass (1 foot),AZ,CNF,413,USFS,7,SEZ,TDC
TORTOLITA,AZ-A3S,747,3321,Lightning/Natural,6/6/20,6/12/20,32.5292,-111.035,Short Grass (1 foot),AZ,A3S,747,AZS,5,SEZ,TDC
EMIGRANT,AZ-CNF,417,4756,Unknown,6/6/20,6/15/20,32.0951,-109.373,Tall Grass (2.5 feet),AZ,CNF,417,USFS,7,SEZ,TDC
Dry Lake,AZ-SCA,1418,4369,Unknown,6/6/20,6/26/20,33.3847,-109.865,Tall Grass (2.5 feet),AZ,SCA,1418,BIA,1,CWZ,PHC
Bringham,AZ-ASF,383,23142,Lightning/Natural,6/6/20,7/29/20,33.4151,-109.312,Short Grass (1 foot),AZ,ASF,383,USFS,7,WMZ,SDC
MANGUM,AZ-KNF,359,71450,Unknown,6/8/20,7/24/20,36.6276,-112.350,Short Grass (1 foot),AZ,KNF,359,USFS,7,NAZ,WDC
CANOA,AZ-CNF,443,583,Unknown,6/10/20,6/15/20,31.4977,-111.448,Tall Grass (2.5 feet),AZ,CNF,443,USFS,7,SEZ,TDC
Bush,AZ-TNF,1581,193455,Human,6/13/20,7/4/20,33.6257,-111.562,Short Grass (1 foot),AZ,TNF,1581,USFS,7,CWZ,PHC
Central,AZ-TNF,1669,4499,Human,6/20/20,6/30/20,33.9307,-112.068,Short Grass (1 foot),AZ,TNF,1669,USFS,7,CWZ,PHC
AIRPORT,AZ-BAR,498,674,Human,6/22/20,6/25/20,31.5884,-111.522,Tall Grass (2.5 feet),AZ,BAR,498,FWS,3,SEZ,TDC
AQUILA,AZ-A4S,989,899,Human,6/23/20,6/26/20,33.8066,-112.119,Short Grass (1 foot),AZ,A4S,989,AZS,5,CWZ,ADC
AVONDALE,AZ-BAR,514,819,Human,6/26/20,6/30/20,33.3824,-112.331,Brush (2 feet),AZ,BAR,514,FWS,3,SEZ,TDC
Wood Springs 2,AZ-NAA,156,12861,Lightning/Natural,6/27/20,7/12/20,35.8401,-109.378,Timber (Litter and Understory),AZ,NAA,156,BIA,1,NAZ,FDC
Cordes,AZ-PHD,1111,350,Unknown,6/29/20,6/30/20,34.3073,-112.132,Tall Grass (2.5 feet),AZ,PHD,1111,BLM,2,CWZ,PDC
Polles,AZ-TNF,1830,628,Lightning/Natural,7/3/20,7/23/20,34.2664,-111.540,Short Grass (1 foot),AZ,TNF,1830,USFS,7,CWZ,PHC
MONUMENT,AZ-A1S,1211,1785,Lightning/Natural,7/5/20,7/30/20,35.6317,-112.747,Short Grass (1 foot),AZ,A1S,1211,AZS,5,CWZ,ADC
FRESNAL,AZ-CNF,574,502,Human,7/6/20,7/12/20,31.4444,-111.418,Chaparral (6 feet),AZ,CNF,574,USFS,7,SEZ,TDC
